uuid,adm4_pcode,date,freq,osm_wetland_nearest,osm_reservoir_nearest,osm_water_nearest,osm_riverbank_nearest,osm_dock_nearest,osm_river_nearest,osm_stream_nearest,osm_canal_nearest,osm_drain_nearest
OSMWB00012D,PH063022052,2017-01-01,Y,729.087033031508,10000.0,183.0056986307611,50.88356279436171,5611.509249870196,747.7235248154277,3238.3117258303705,1400.1766720398562,10000.0
OSMWB00012E,PH063022138,2017-01-01,Y,1212.0078518240018,10000.0,743.7134208832596,547.0148854163277,3889.310780156052,624.3763483348014,1650.4539651009266,2062.535145564278,10000.0
OSMWB00012F,PH063022176,2017-01-01,Y,0.0,10000.0,0.0,0.0,6492.817429139864,0.0,2247.959184474673,974.083760846923,10000.0
OSMWB000130,PH063022179,2017-01-01,Y,2581.914190585469,8612.40961763098,534.444691066976,1146.993653267898,9514.332793967602,1179.5107392367213,0.0,0.0,2625.749423878727
OSMWB000131,PH063022054,2017-01-01,Y,600.8914028241364,10000.0,390.9482925998497,209.08728704596112,4106.796223932501,267.6726284333143,1227.841654942593,1486.2583447450354,9571.88026328992
OSMWB000132,PH063022092,2017-01-01,Y,978.9778490689664,10000.0,325.5585168693347,0.0,3739.9177068358,0.0,415.3633142075246,2168.64966160524,8863.712070597661
OSMWB000133,PH063022132,2017-01-01,Y,758.2333070023766,10000.0,0.0,0.0,3561.839977461576,0.0,458.3731462162123,1881.899388484749,8896.957253508861
OSMWB000134,PH063022085,2017-01-01,Y,143.23839346760457,10000.0,438.31680776301926,0.0,4808.141395871562,0.0,1134.8695561527145,1186.0231647217,8563.304824607976
OSMWB000135,PH063022160,2017-01-01,Y,0.0,10000.0,0.0,0.0,5805.09469622837,0.0,1209.031519885236,0.0,8993.288031231228
OSMWB000136,PH063022134,2017-01-01,Y,76.96104795268009,10000.0,75.5424035776304,302.26082385977645,8649.043423049527,419.0712803837784,2754.252859922361,4245.529621260866,10000.0
OSMWB000137,PH063022035,2017-01-01,Y,591.131328279183,10000.0,349.65304912232034,300.4382624077678,5479.083165976112,696.7147149601063,2918.455700110327,1299.536974399056,10000.0
OSMWB000138,PH063022029,2017-01-01,Y,1400.5026326437703,10000.0,543.4054813144568,0.0,5094.717228616442,0.0,329.2530892182989,2042.1424727238625,6901.09108055298
OSMWB000139,PH063022194,2017-01-01,Y,0.0,10000.0,0.0,0.0,8549.022106445493,589.9255596161979,2379.705014653277,4356.223235283053,10000.0
OSMWB00013A,PH063022144,2017-01-01,Y,3672.318953122882,9890.352609520249,1138.769879257847,1875.7676677988904,9233.034002013048,0.0,0.0,2798.234020068285,7640.2153366342845
OSMWB00013B,PH063022095,2017-01-01,Y,915.4337157720842,10000.0,112.9347112498926,168.48656186042948,5076.54015306267,48.59186151781277,926.4003867652528,1712.5083964978096,7523.384907870646
OSMWB00013C,PH063022164,2017-01-01,Y,459.4036987623238,10000.0,0.0,0.0,9266.14994173391,0.0,2059.8638397230307,4635.693874365758,10000.0
OSMWB00013D,PH063022158,2017-01-01,Y,0.0,10000.0,0.0,0.0,6075.559863475415,0.0,2847.696754638893,793.4590970035138,10000.0
OSMWB00013E,PH063022197,2017-01-01,Y,860.482323642999,10000.0,913.6140643702296,626.3572452732886,4603.67854942038,815.9462843612109,2141.7384015130733,1580.034158359991,10000.0
OSMWB00013F,PH063022114,2017-01-01,Y,0.0,10000.0,0.0,0.0,4971.364295928286,0.0,1542.348342053631,7.188801866105653,8852.645441052697
OSMWB000140,PH063022183,2017-01-01,Y,468.5637313211649,10000.0,206.458614463578,0.0,4627.524477552097,0.0,0.0,2435.7983572846115,5841.840741034162
OSMWB000141,PH063022099,2017-01-01,Y,591.6799957163698,10000.0,0.0,361.6701353527332,5076.54015306267,192.6056781064368,1078.3558524923153,1347.917136088654,7700.586947007013
OSMWB000142,PH063022077,2017-01-01,Y,1095.061965734789,10000.0,333.9317713650408,678.5465028582911,5566.270531610218,0.0,1006.0345760360204,1580.4857186137335,7389.726469056121
OSMWB000143,PH063022123,2017-01-01,Y,1035.0523333253957,10000.0,802.4794456322296,628.0044447002861,4098.139484376392,710.9652238781,1718.6909876202951,1859.211695777032,10000.0
OSMWB000144,PH063022150,2017-01-01,Y,54.2916000807763,10000.0,253.2121757918934,84.57902189354677,5198.0873276607845,153.5954049041267,2330.5415555295986,773.7730717427788,9932.792660260871
OSMWB000145,PH063022122,2017-01-01,Y,1469.6987038572197,10000.0,357.1258110242703,151.99819943234232,3335.6043459317134,230.77637755725843,1212.903806893712,2372.499642270408,9886.623908754147
OSMWB000146,PH063022038,2017-01-01,Y,1716.9882978968594,10000.0,425.360467876457,0.0,2469.203933559154,0.0,345.1085353186596,2829.100346498919,9200.1685579057
OSMWB000147,PH063022196,2017-01-01,Y,1911.4971845761324,10000.0,722.1888074625386,1520.8033625425803,8343.300333793526,774.744394147757,584.0496884349922,2089.207757532899,9414.422846590827
OSMWB000148,PH063022167,2017-01-01,Y,8.497784592659956,10000.0,182.7399481259721,0.0,8350.564678042076,1138.2429761252115,3181.3362455053566,4375.991557898684,10000.0
OSMWB000149,PH063022182,2017-01-01,Y,2136.630328245887,10000.0,1297.454863747308,851.4488231713035,7228.584029316855,24.27771634539781,830.9631872254569,1340.4255386947605,8192.723914545108
OSMWB0001D1,PH063022034,2017-01-01,Y,2164.203045283244,10000.0,1252.4387387319082,856.4463711111578,7131.7958112654405,89.56136547752105,1100.7767380789196,1410.8402383788257,8098.452667180281
OSMWB0001D2,PH063022074,2017-01-01,Y,622.7560680739342,10000.0,849.5984016042435,516.4147757218773,4683.560006010853,561.2866761583601,2086.0570515887284,1294.1963609492311,10000.0
OSMWB0001D3,PH063022014,2017-01-01,Y,841.7557110448579,10000.0,77.60515903891267,397.78056875706585,4199.640358976131,477.1181929445028,261.96895703885457,1973.201976782106,8123.579795357049
OSMWB0001D4,PH063022030,2017-01-01,Y,1576.397452766698,10000.0,0.0,382.6473881203791,8342.373697891746,0.0,1592.0343822967088,2311.646231053533,9605.91779894147
OSMWB0001D5,PH063022024,2017-01-01,Y,2501.710173987636,9515.697342361836,1078.4264454299766,0.0,8162.273685081179,0.0,1557.733250483703,1208.9102646191118,4247.692764886345
OSMWB0001D6,PH063022199,2017-01-01,Y,887.014568652779,10000.0,613.4733815624692,0.0,5272.811931910709,0.0,0.0,2899.23856394104,6001.198500766373
OSMWB0001D7,PH063022175,2017-01-01,Y,2161.638305325414,10000.0,1405.6186155237876,1218.9593537297828,6873.652864847481,0.0,717.4629028757353,1818.844415037224,6456.12740514982
OSMWB0001D8,PH063022119,2017-01-01,Y,43.21226219900307,10000.0,0.0,0.0,6741.081668502776,0.0,3055.671638791524,1541.802033928092,10000.0
OSMWB0001D9,PH063022112,2017-01-01,Y,992.2432637183311,10000.0,135.44398898689678,0.0,5981.079388087032,0.0,1971.835119734196,460.9345041103382,8154.931474509227
OSMWB0001DA,PH063022048,2017-01-01,Y,0.0,10000.0,0.0,0.0,7769.376281947785,0.0,3243.548021899337,3481.663579563091,10000.0
OSMWB0001DB,PH063022018,2017-01-01,Y,1974.7650050972584,10000.0,1151.3375663259055,933.199296349204,6806.932493607174,0.3755185727664117,1181.9909414676367,1534.016160963492,7406.252976377695
OSMWB0001DC,PH063022068,2017-01-01,Y,57.27441861414451,10000.0,0.0,0.0,6038.954257844739,0.0,359.897871780378,2993.6633384519,3971.019414741508
OSMWB0001DD,PH063022108,2017-01-01,Y,2747.9032447918285,10000.0,1862.2394240861936,1501.4879036019554,7620.602176993534,115.6054530424104,863.856622347888,2060.515584198773,7558.440748947882
OSMWB0001DE,PH063022125,2017-01-01,Y,1053.1740115840146,10000.0,1180.9801858014646,796.8627320168102,4410.668350915051,1001.3821187247422,2094.700881623162,1765.9426693178716,10000.0
OSMWB0001DF,PH063022174,2017-01-01,Y,0.0,10000.0,0.0,0.0,5492.55096652166,0.0,2735.5299618074155,556.8591897318008,10000.0
OSMWB0001E0,PH063022105,2017-01-01,Y,1883.8058090886325,10000.0,0.0,197.4643234793724,2972.180388433105,283.1108965310128,0.0,3104.151032988977,8376.880063730163
OSMWB0001E1,PH063022098,2017-01-01,Y,2939.9418268886425,9910.309107573716,1526.4721449741708,130.63194089662124,8204.00254655465,166.68034141353073,2018.9095675461488,1504.428945592825,5329.503843655395
OSMWB0001E2,PH063022053,2017-01-01,Y,356.12062075144,10000.0,166.49983364034324,385.7914038825144,5449.832526475633,456.0571000492052,2745.680916107545,1063.848284295224,10000.0
OSMWB0001E3,PH063022010,2017-01-01,Y,1468.2864544945014,10000.0,63.37393314857581,0.0,6740.769935070096,0.0,984.6067656099252,2122.4062630527374,3976.3777529547647
OSMWB0001E4,PH063022116,2017-01-01,Y,1097.8725850418705,10000.0,331.31093878505305,141.22177189775215,3761.1259589727647,221.7804323950038,1245.5142821231163,1955.9751409462988,9808.873915091855
OSMWB0001E5,PH063022079,2017-01-01,Y,516.3434023429612,10000.0,226.1020001835312,110.10135308666176,5979.500950295927,600.2756436343655,3488.483863760684,1415.253646475936,10000.0
OSMWB0001E6,PH063022055,2017-01-01,Y,568.5010117249145,10000.0,694.3921046533925,488.5544901237778,4920.227244457643,535.793444022526,2244.3757065957507,1249.4711007998678,10000.0
OSMWB0001E7,PH063022042,2017-01-01,Y,51.5988454256003,10000.0,403.3140131440208,0.0,4192.109417234253,0.0,1158.961053398686,1176.7390252100654,8851.665302343652
