uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,death_total
DPSAT0019BB,W,2006-09-11,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT0019BC,W,2006-09-11,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT0019BD,W,2006-09-11,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,8
DPSAT0019BE,W,2006-09-18,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT0019BF,W,2006-09-18,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT0019C0,W,2006-09-18,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,6
DPSAT0019C1,W,2006-09-18,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT0019C2,W,2006-09-18,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT0019C3,W,2006-09-25,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT0019C4,W,2006-09-25,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT0019C5,W,2006-09-25,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,5
DPSAT0019C6,W,2006-09-25,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT0019C7,W,2006-09-25,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT0019C8,W,2006-10-02,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT0019C9,W,2006-10-02,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,6
DPSAT0019CA,W,2006-10-02,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT0019CB,W,2006-10-02,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT0019CC,W,2006-10-09,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT0019CD,W,2006-10-09,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT0019CE,W,2006-10-09,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT0019CF,W,2006-10-09,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,12
DPSAT0019D0,W,2006-10-16,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT0019D1,W,2006-10-16,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT0019D2,W,2006-10-16,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT0019D3,W,2006-10-16,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
